id,streaming_service,type,title,available_countries,listed_in,main_genre,release_year,imdb_rating,imdb_num_votes
e114387,Amazon Prime Video,TV Show,The Equalizer,,"Action, Crime, Drama",Action,2021,5.6,18959
e114388,Amazon Prime Video,TV Show,S.W.A.T.,,"Action, Adventure, Crime",Action,2017,7.2,37162
e114401,Amazon Prime Video,TV Show,,,"Family, Drama",Family,2024,,
e114408,Amazon Prime Video,TV Show,,,Animation,Animation,2024,,
e114409,Amazon Prime Video,TV Show,Boruto: Naruto Next Generations,,"Action, Adventure, Animation",Action,2017,6.4,31326
e114430,Amazon Prime Video,TV Show,Young Sheldon,,Comedy,Comedy,2017,7.7,129562
e114433,Amazon Prime Video,TV Show,,,Drama,Drama,2023,,
e114437,Amazon Prime Video,TV Show,Taxi Driver,,"Action, Crime, Drama",Action,2021,8.1,7242
e114443,Amazon Prime Video,TV Show,Serangoon Road,,"Crime, Drama, Mystery",Crime,2013,6.9,716
e114447,Amazon Prime Video,TV Show,Snowpiercer,,"Action, Drama, Sci-Fi",Action,2020,6.9,69847
e114454,Amazon Prime Video,TV Show,Peaky Blinders,,"Crime, Drama",Crime,2013,8.7,701764
e114455,Amazon Prime Video,TV Show,Euphoria,,Drama,Drama,2019,8.3,267756
e114459,Amazon Prime Video,TV Show,Nathan for You,,"Comedy, Documentary",Comedy,2013,8.9,42858
e114464,Amazon Prime Video,TV Show,A Very Royal Scandal,,"Biography, Drama",Biography,2024,7.2,2472
e114468,Amazon Prime Video,TV Show,,,"Drama, Comedy",Drama,2023,,
e114471,Amazon Prime Video,TV Show,Fargo,,"Crime, Drama, Thriller",Crime,2014,8.8,441541
e114477,Amazon Prime Video,TV Show,The Day of the Jackal,,"Action, Crime, Drama",Action,2024,8.2,86604
e114483,Amazon Prime Video,TV Show,,,Drama,Drama,,,
e114518,Amazon Prime Video,TV Show,The Rookie,,"Action, Crime, Drama",Action,2018,8,93277
e114520,Amazon Prime Video,TV Show,Dragon Ball Z Kai,,"Action, Adventure, Animation",Action,2009,8.3,26403
e114523,Amazon Prime Video,TV Show,,,Documentary,Documentary,2019,,
e114526,Amazon Prime Video,TV Show,Jujutsu Kaisen,,"Action, Adventure, Animation",Action,2020,8.5,147141
e114536,Amazon Prime Video,TV Show,,,"Comedy, Reality",Comedy,2024,,
e114549,Amazon Prime Video,TV Show,Superman & Lois,,"Action, Adventure, Drama",Action,2021,7.8,46064
e114552,Amazon Prime Video,TV Show,Interview with the Vampire,,"Drama, Fantasy, Horror",Drama,2022,7.5,31847
e114553,Amazon Prime Video,TV Show,,,Documentary,Documentary,2012,,
e114558,Amazon Prime Video,TV Show,Re: Zero - Starting Life in Another World,,"Adventure, Animation, Drama",Adventure,2016,8.1,31360
e114565,Amazon Prime Video,TV Show,Fatal Vows,,Documentary,Documentary,2012,6.8,266
e114569,Amazon Prime Video,TV Show,Twisted Metal,,"Action, Adventure, Comedy",Action,2023,7.3,30264
e114571,Amazon Prime Video,TV Show,Chapelwaite,,"Drama, Horror, Mystery",Drama,2021,7.2,13056
e114575,Amazon Prime Video,TV Show,Scorned: Love Kills,,"Crime, Documentary",Crime,2012,6.9,305
e114576,Amazon Prime Video,TV Show,Scorned: Love Kills,,"Crime, Documentary",Crime,2012,6.9,305
e114588,Amazon Prime Video,TV Show,,,"Animation, Action & Adventure",Animation,,,
e114589,Amazon Prime Video,TV Show,,,Drama,Drama,2005,,
e114611,Amazon Prime Video,TV Show,Gotham,,"Action, Crime, Drama",Action,2014,7.8,246296
e114615,Amazon Prime Video,TV Show,The Flash,,"Action, Adventure, Drama",Action,2014,7.5,375598
e114626,Amazon Prime Video,TV Show,The Last Ship,,"Action, Drama, Sci-Fi",Action,2014,7.4,66020
e114627,Amazon Prime Video,TV Show,Chasing Life,,"Drama, Family, Romance",Drama,2014,7.8,6308
e114640,Amazon Prime Video,TV Show,Married at First Sight,,"Reality-TV, Romance",Reality-TV,2014,6.2,2743
